                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                  1.109,                0.49253,                0.82504,                0.82527,                0.81472,                0.86295,                0.41178,                 1.7224,                 0.7549,                0.94879,              0.0095804,              0.0095804,              0.0095804
                    134,                 1.1326,                0.50049,                0.82136,                0.84339,                0.78502,                0.85285,                0.39785,                 1.7851,                0.75182,                0.96133,              0.0095742,              0.0095742,              0.0095742
                    135,                 1.1782,                0.50574,                0.83112,                0.84688,                0.80452,                0.86305,                0.42061,                 1.6825,                0.72382,                0.94518,              0.0095678,              0.0095678,              0.0095678
                    136,                 1.1262,                0.49791,                0.81721,                0.82459,                0.80643,                0.85696,                0.40329,                  1.767,                0.73208,                0.95707,              0.0095614,              0.0095614,              0.0095614
                    137,                 1.1139,                0.50031,                0.82113,                0.81287,                0.81161,                0.84815,                0.41131,                 1.7019,                0.77687,                0.94514,               0.009555,               0.009555,               0.009555
                    138,                 1.1156,                0.49517,                0.81865,                0.83801,                0.75576,                0.83269,                0.38864,                 1.7955,                0.80004,                0.96018,              0.0095486,              0.0095486,              0.0095486
                    139,                 1.0706,                0.49078,                0.81854,                0.81827,                0.79167,                0.84536,                0.40252,                 1.7348,                0.81261,                0.95218,               0.009542,               0.009542,               0.009542
                    140,                 1.1024,                0.49475,                 0.8181,                0.83285,                0.77083,                0.84285,                0.39145,                  1.781,                0.79315,                0.95905,              0.0095355,              0.0095355,              0.0095355
                    141,                 1.1324,                0.50066,                0.81728,                0.81945,                0.78856,                0.84145,                0.39373,                 1.7897,                0.78731,                0.95841,              0.0095289,              0.0095289,              0.0095289
                    142,                 1.1398,                0.49539,                0.82507,                0.83507,                0.80275,                0.86148,                 0.4136,                  1.712,                0.75851,                0.94624,              0.0095223,              0.0095223,              0.0095223
